time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.801405885363086e-07,-1.9308238887350676e-08,10.00341299089838,6.282817302064526,0.00033729470420773566,0.0,-3.216777743846856e-05,-1.532430335666744e-05,0.11376104814310836,-0.02269148862388892,0.01499216409143024,0.0,440.1396624244276,441.3783973449028,442.66353042760454,440.79271302774254
0.12000000000000001,-1.5409608340570123e-05,-1.4762134357130888e-05,10.015116547759343,6.281604483305188,0.0022867425958263965,0.0,-0.0006417863891104371,-0.0006188644683547944,0.27633121115711096,-0.01566929691395219,0.05448594360461096,0.0,454.9720478830644,458.1229097593141,455.8638223264297,456.42452990790883
0.18,-0.00012038146414048025,-9.177577354461792e-05,10.03693137691165,6.28091981709602,0.005784674448727323,0.0,-0.003240624446073977,-0.002038716227291369,0.4507750613702267,-0.00402475914620256,0.06500045292296655,0.0,459.7271436634201,460.5615882402225,459.4342513953235,460.35653945094055
0.23999999999999996,-0.0004656544523403663,-0.0002677062562637413,10.069513522313795,6.280313794469087,0.009387502054960528,0.0,-0.008700382931893381,-0.00386915864351667,0.635208483088807,-0.02643764744353784,0.04763147518860692,0.0,464.16614828357217,462.80360296824205,463.7202403338745,461.9566440398713
0.3,-0.0011681658375740577,-0.0005570478597941571,10.108066246491704,6.278846043960975,0.013059010529963722,0.0,-0.015016035617060029,-0.0059117561154400965,0.6498703191248968,-0.020779514943005176,0.07972169152554094,0.0,408.01802546326024,410.87532859362966,409.03530125676764,409.5386593826729
0.36000000000000004,-0.00238966501570822,-0.0010167741725310773,10.152358082660287,6.277372086383799,0.017322892973667514,0.0,-0.02622538732093562,-0.009564562998025727,0.8264043256334586,-0.03348247297639216,0.04174473975286887,0.0,462.2603454643619,459.26170143716973,461.79909955551705,460.79605367352906
0.4200000000000001,-0.004294705279959773,-0.0017059796331057977,10.20292298021179,6.275287553958059,0.01973893558766715,0.0,-0.03750217599339769,-0.013597032755797203,0.8590625122949853,-0.03738822101448548,0.03713651797265672,0.0,415.86028569664217,415.45744849643927,415.98125053649125,415.6385275533223
0.48000000000000015,-0.006985642925097803,-0.0027034948202399006,10.258655213116878,6.272923055541234,0.022357671989919226,0.0,-0.052457576791005794,-0.019900606234867686,0.9985587976479308,-0.04378876335702174,0.0542265775786649,0.0,450.00678815253127,451.38888613999313,449.71729829779264,449.1978532379841
0.5400000000000001,-0.010600722599267406,-0.004116520691612837,10.321274961357995,6.270109061647204,0.025374212052361678,0.0,-0.06836002578560861,-0.0274719598498629,1.088673257718149,-0.053986550005016024,0.04089615060377086,0.0,434.8738774821474,433.75759769623374,435.80278373814264,434.9482642611932
0.6000000000000002,-0.015213915299776804,-0.006035439872212506,10.388738662338156,6.267101526528361,0.027573004843354454,0.0,-0.08564061822468211,-0.036795409888294675,1.1600356911202578,-0.04334915695531823,0.02639792275062643,0.0,428.7629110911471,427.5301934604229,429.44463955632835,430.3441749335867
0.6600000000000003,-0.020978547031660303,-0.008615326510486559,10.463142344330214,6.264180375449474,0.02881090633816008,0.0,-0.10666980731300198,-0.04950067213456639,1.3199051604056478,-0.062369642728491326,0.005440069393703231,0.0,457.1525745858971,455.47972113447014,458.38196424876855,456.8666098445997
0.7200000000000003,-0.02806320240455749,-0.012051331169478704,10.5483557776197,6.260822664635821,0.02942178543779761,0.0,-0.12953510966658513,-0.06544004581637779,1.5202862644588189,-0.04551748713264324,0.018288263462428227,0.0,469.0118236704977,470.00842827956956,468.88542304136024,470.1906428516916
0.7800000000000004,-0.036541122176729154,-0.016521493445448555,10.645711251309242,6.258505400215913,0.03065907318694716,0.0,-0.153191779754289,-0.08385205874913529,1.724597567709548,-0.027528124199820467,0.02492088161977242,0.0,470.2875824907329,470.8009544433312,471.226787374239,472.61451801017427
0.8400000000000004,-0.046440999535220365,-0.022124134435282976,10.754399086886247,6.256953607475836,0.03214441780968169,0.0,-0.17696453674842386,-0.10307641532999555,1.8980461250929648,-0.022725994300660475,0.02442344769366542,0.0,462.5183424228398,462.4792342384033,462.6424063361792,463.02022201005667
0.9000000000000005,-0.057795434657672805,-0.02890992401806258,10.873313383874754,6.255554177444157,0.033584430745143834,0.0,-0.20167071412200416,-0.12326366802533839,2.0654638180113905,-0.02454701017961136,0.02314012900255216,0.0,461.52562232676246,461.4243766934795,461.4943924640374,461.3506126348944
0.9600000000000005,-0.07060888343924047,-0.03689270727754441,11.000610828221385,6.2542187308199075,0.03525987689492105,0.0,-0.22559852281208387,-0.1429688118238704,2.1775643585126194,-0.018032438346323627,0.03609266684276119,0.0,444.3317738722534,445.39251494664757,445.0476781586222,445.58051643344595
1.0200000000000005,-0.08489313870890296,-0.04608165154414226,11.134541755618677,6.25337307197929,0.037641517128066404,0.0,-0.25077244410368543,-0.1634218609277794,2.286572474217166,-0.007196757530917596,0.04606605310611735,0.0,443.86686098542657,444.6853478923115,444.4717363566022,445.3589535390386
1.0800000000000005,-0.10064601191691568,-0.05643914606630772,11.272550535023885,6.25344659367024,0.04007996755886456,0.0,-0.2745624171268905,-0.1818394749540468,2.3136519160504094,0.014240707901953222,0.026653414084510125,0.0,419.08063418715244,417.39084497305635,418.1005874203674,419.9641103561912
1.1400000000000006,-0.11820698705525037,-0.06814462343714758,11.420561657217018,6.25419797348551,0.04212438003276553,0.0,-0.31102370824495557,-0.208217708926855,2.6193896467823428,0.008844994486042982,0.04584274110879072,0.0,502.6810505413902,504.06993169157505,503.00111219267353,502.6100885769808
